,results
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5E7C3CF59E9C012AE0530A839427C070', 'geometry': {'points': [[608872.9997944838, 266862.0000550154]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608872.9997944838, 266862.0000550154, 608872.9997944838, 266862.0000550154], 'attributes': {'accidentday_fr': 'jeudi / 09h-10h / octobre 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 09h-10h / Oktober 2017', 'accidentday_it': 'Giovedì / 09h-10h / Ottobre 2017', 'accidentyear': 2017, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5E7C3CF59E9C012AE0530A839427C070'}"
1,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5494D6B8595B01F4E0530A8394277899', 'geometry': {'points': [[608916.9999265862, 266942.9999421581]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608916.9999265862, 266942.9999421581, 608916.9999265862, 266942.9999421581], 'attributes': {'accidentday_fr': 'jeudi / 15h-16h / juin 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 15h-16h / Juni 2017', 'accidentday_it': 'Giovedì / 15h-16h / Giugno 2017', 'accidentyear': 2017, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5494D6B8595B01F4E0530A8394277899'}"
2,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '42AB8F7E2B970252E0530A8394274DFA', 'geometry': {'points': [[608627.999281236, 267018.0004737645]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608627.999281236, 267018.0004737645, 608627.999281236, 267018.0004737645], 'attributes': {'accidentday_fr': 'mercredi / 18h-19h / novembre 2016', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 18h-19h / November 2016', 'accidentday_it': 'Mercoledì / 18h-19h / Novembre 2016', 'accidentyear': 2016, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2762', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '42AB8F7E2B970252E0530A8394274DFA'}"
3,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '35DCD073365302FEE0530A839427BF9B', 'geometry': {'points': [[608547.9994848174, 267247.00029091333]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608547.9994848174, 267247.00029091333, 608547.9994848174, 267247.00029091333], 'attributes': {'accidentday_fr': 'lundi / 08h-09h / mai 2016', 'severitycategorycode': 'USV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Montag / 08h-09h / Mai 2016', 'accidentday_it': 'Lunedí / 08h-09h / Maggio 2016', 'accidentyear': 2016, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '35DCD073365302FEE0530A839427BF9B'}"
4,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'FE4CD9CA35D80262E0430A839427E0E6', 'geometry': {'points': [[608710.999508937, 267062.0002826283]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608710.999508937, 267062.0002826283, 608710.999508937, 267062.0002826283], 'attributes': {'accidentday_fr': 'jeudi / 13h-14h / juin 2014', 'severitycategorycode': 'USV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti gravi', 'accidentday_de': 'Donnerstag / 13h-14h / Juni 2014', 'accidentday_it': 'Giovedì / 13h-14h / Giugno 2014', 'accidentyear': 2014, 'label': 'Schleuder- oder Selbstunfall', 'severitycategory_de': 'Unfall mit Schwerverletzten', 'canton': 'BL', 'accidenttypecode': 0, 'accidenttype_fr': 'dérapage ou perte de maîtrise', 'accidenttype_de': 'Schleuder- oder Selbstunfall', 'accidenttype_it': 'Incidente di sbandamento o per colpa propria', 'fsocommunecode': '2762', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés graves'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'FE4CD9CA35D80262E0430A839427E0E6'}"
5,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'E3F9C9B49D8C015EE0430A839427D701', 'geometry': {'points': [[608683.9994473046, 267056.00033398374]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608683.9994473046, 267056.00033398374, 608683.9994473046, 267056.00033398374], 'attributes': {'accidentday_fr': 'mardi / 11h-12h / août 2013', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 11h-12h / August 2013', 'accidentday_it': 'Martedì / 11h-12h / Agosto 2013', 'accidentyear': 2013, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2762', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'E3F9C9B49D8C015EE0430A839427D701'}"
6,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'D356F6791F81014AE0430A8394275E11', 'geometry': {'points': [[609042.0004541434, 266857.9990154628]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609042.0004541434, 266857.9990154628, 609042.0004541434, 266857.9990154628], 'attributes': {'accidentday_fr': 'jeudi / 09h-10h / décembre 2012', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 09h-10h / Dezember 2012', 'accidentday_it': 'Giovedì / 09h-10h / Dicembre 2012', 'accidentyear': 2012, 'label': 'Überqueren der Fahrbahn', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 5, 'accidenttype_fr': 'accident en traversant une route', 'accidenttype_de': 'Überqueren der Fahrbahn', 'accidenttype_it': ""Incidente nell'attraversare la carreggiata"", 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'D356F6791F81014AE0430A8394275E11'}"
7,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'C26C1B37D1ED0158E0430A839427B490', 'geometry': {'points': [[608745.9995987642, 267085.0002071282]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608745.9995987642, 267085.0002071282, 608745.9995987642, 267085.0002071282], 'attributes': {'accidentday_fr': 'mardi / 08h-09h / mai 2012', 'severitycategorycode': 'ULV', 'roadtype_de': 'Hauptstrasse', 'roadtype_fr': 'route principale', 'roadtype_it': 'Strada principale', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Dienstag / 08h-09h / Mai 2012', 'accidentday_it': 'Martedì / 08h-09h / Maggio 2012', 'accidentyear': 2012, 'label': 'Auffahrunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 2, 'accidenttype_fr': 'accident par tamponnement', 'accidenttype_de': 'Auffahrunfall', 'accidenttype_it': 'Incidente di tamponamento', 'fsocommunecode': '2762', 'roadtypecode': 432, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'C26C1B37D1ED0158E0430A839427B490'}"
8,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': 'C26AE3D97989001CE0430A8394271C90', 'geometry': {'points': [[609062.0004999659, 267140.99898907763]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609062.0004999659, 267140.99898907763, 609062.0004999659, 267140.99898907763], 'attributes': {'accidentday_fr': 'lundi / 18h-19h / mai 2012', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Montag / 18h-19h / Mai 2012', 'accidentday_it': 'Lunedí / 18h-19h / Maggio 2012', 'accidentyear': 2012, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BL', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2762', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': 'C26AE3D97989001CE0430A8394271C90'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '5BF5858E72AB0148E0530A839427642B', 'geometry': {'points': [[608946.0000999122, 268118.00239493867]], 'spatialReference': {'wkid': 21781}}, 'bbox': [608946.0000999122, 268118.00239493867, 608946.0000999122, 268118.00239493867], 'attributes': {'accidentday_fr': 'mercredi / 08h-09h / septembre 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Mittwoch / 08h-09h / September 2017', 'accidentday_it': 'Mercoledì / 08h-09h / Settembre 2017', 'accidentyear': 2017, 'label': 'Überholunfall oder Fahrstreifenwechsel', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 1, 'accidenttype_fr': ""accident lors d'un dépassement ou lors d'un changement de voie de circulation"", 'accidenttype_de': 'Überholunfall oder Fahrstreifenwechsel', 'accidenttype_it': 'Incidente di sorpasso o al cambiamento di corsia', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '5BF5858E72AB0148E0530A839427642B'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '09D9660E21F501E2E0530A839427ED0D', 'geometry': {'points': [[609128.0001474087, 268658.998669208]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609128.0001474087, 268658.998669208, 609128.0001474087, 268658.998669208], 'attributes': {'accidentday_fr': 'jeudi / 15h-16h / octobre 2014', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Donnerstag / 15h-16h / Oktober 2014', 'accidentday_it': 'Giovedì / 15h-16h / Ottobre 2014', 'accidentyear': 2014, 'label': 'Einbiegeunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 4, 'accidenttype_fr': ""accident en s'engageant sur une route"", 'accidenttype_de': 'Einbiegeunfall', 'accidenttype_it': 'Incidente nell’immettersi in una strada', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '09D9660E21F501E2E0530A839427ED0D'}"
0,"{'layerName': 'Unfälle mit Fahrradbeteiligung', 'featureId': '54802369F1580176E0530A839427F188', 'geometry': {'points': [[609074.9987406055, 266165.99875131773]], 'spatialReference': {'wkid': 21781}}, 'bbox': [609074.9987406055, 266165.99875131773, 609074.9987406055, 266165.99875131773], 'attributes': {'accidentday_fr': 'vendredi / 15h-16h / juin 2017', 'severitycategorycode': 'ULV', 'roadtype_de': 'Nebenstrasse', 'roadtype_fr': 'route secondaire', 'roadtype_it': 'Strada secondaria', 'severitycategory_it': 'Incidente con feriti leggeri', 'accidentday_de': 'Freitag / 15h-16h / Juni 2017', 'accidentday_it': 'Venerdì / 15h-16h / Giugno 2017', 'accidentyear': 2017, 'label': 'Parkierunfall', 'severitycategory_de': 'Unfall mit Leichtverletzten', 'canton': 'BS', 'accidenttypecode': 7, 'accidenttype_fr': 'accident en parquant', 'accidenttype_de': 'Parkierunfall', 'accidenttype_it': 'Incidente nel parcheggiare', 'fsocommunecode': '2701', 'roadtypecode': 433, 'severitycategory_fr': 'accident avec blessés légers'}, 'layerBodId': 'ch.astra.unfaelle-personenschaeden_fahrraeder', 'id': '54802369F1580176E0530A839427F188'}"
